t	x	y
0.000	0.102	1.337
0.067	0.103	1.335
0.133	0.115	1.327
0.200	0.205	1.264
0.267	0.121	1.305
0.333	0.135	1.315
0.400	0.194	1.309
0.467	0.138	1.333
0.533	0.209	1.335
0.600	0.275	1.331
0.666	0.354	1.283
0.733	0.413	1.247
0.800	0.519	1.173
0.866	0.650	1.107
0.933	0.745	1.063
1.000	0.932	1.060
1.066	1.058	1.054
1.133	1.244	1.012
1.200	1.337	1.076
1.266	1.545	1.093
1.333	1.926	1.389
1.400	1.809	1.264
1.466	2.011	1.404
1.533	2.207	1.494
1.599	2.388	1.190
1.666	2.662	1.153
1.733	2.939	1.075
1.799	3.194	1.063
1.866	3.481	1.039
1.933	3.744	1.066
1.999	4.000	1.087
2.066	4.268	1.106
2.133	4.180	1.409
2.199	4.848	1.113
2.266	5.071	1.237
2.333	5.478	1.084
2.399	5.759	1.239
2.466	6.042	1.229
2.532	6.466	1.227
2.599	6.777	1.232
2.666	7.205	1.139
2.732	7.603	1.204
2.799	8.055	1.195
2.866	8.378	1.282
2.932	8.894	1.249
2.999	9.258	1.274
3.066	9.804	1.338
3.132	10.139	1.386
3.199	10.670	1.349
3.266	11.152	1.372
3.332	11.427	1.532
3.399	12.016	1.322
3.466	12.643	1.291
3.532	13.004	1.259
3.599	13.677	1.183
3.665	14.213	1.128
3.732	14.823	1.136
3.799	15.346	1.089
3.865	15.842	1.110
3.932	16.341	1.102
3.999	16.877	1.195
4.065	17.393	1.267
4.132	18.005	1.374
4.199	18.825	1.213
4.265	19.269	1.300
4.332	19.878	1.304
4.399	20.571	1.298
4.465	21.240	1.265
4.532	21.823	1.244
4.598	22.675	1.170
4.665	23.369	1.104
4.732	24.003	1.072
4.798	24.896	1.040
4.865	25.604	1.001
4.932	26.245	1.064
4.998	26.976	1.063
5.065	27.746	1.063
5.132	28.579	1.074
5.198	29.324	1.096
5.265	30.140	1.081
5.332	31.033	1.123
5.398	31.573	1.151
5.465	32.461	1.106
5.531	33.285	1.165
