t	x	y
0.000	0.017	-2.048
0.067	0.019	-2.058
0.133	0.004	-2.045
0.200	-0.000	-2.050
0.267	0.005	-2.058
0.333	0.006	-2.086
0.400	0.032	-2.097
0.500	0.237	-2.137
0.566	0.323	-2.108
0.633	0.546	-2.077
0.700	0.730	-2.071
0.766	0.859	-2.095
0.833	1.428	-2.057
0.900	1.666	-2.016
0.966	2.117	-2.127
1.033	2.139	-2.128
1.100	2.676	-2.218
1.166	2.567	-2.043
1.233	2.924	-2.064
1.300	3.252	-2.072
1.366	3.848	-2.062
1.433	4.383	-2.067
1.500	4.887	-2.067
1.566	5.450	-2.052
1.633	5.952	-2.074
1.699	6.493	-2.070
1.766	7.132	-2.095
1.833	7.661	-2.103
1.899	8.310	-2.106
1.966	8.859	-2.123
2.033	9.490	-2.123
2.099	10.122	-2.129
2.166	10.859	-2.156
2.233	11.603	-2.144
2.299	12.354	-2.136
2.366	13.170	-2.139
2.433	13.952	-2.157
2.499	14.760	-2.155
2.566	15.645	-2.157
2.632	16.494	-2.164
2.699	17.409	-2.203
2.766	18.303	-2.163
2.832	19.160	-2.202
2.899	20.136	-2.198
2.966	21.156	-2.224
3.032	22.169	-2.222
3.099	23.221	-2.229
3.166	24.287	-2.241
3.232	25.327	-2.243
3.299	26.379	-2.251
3.366	27.484	-2.259
3.432	28.697	-2.273
3.499	29.875	-2.263
3.565	31.025	-2.281
3.632	32.202	-2.277
3.699	33.515	-2.304
3.765	34.687	-2.313
3.832	35.942	-2.305
3.899	37.248	-2.322
3.965	38.474	-2.326
4.032	39.786	-2.335
4.099	41.139	-2.362
4.165	42.458	-2.367
4.232	43.835	-2.316
4.299	45.207	-2.391
4.365	46.720	-2.410
4.432	48.233	-2.423
4.499	49.687	-2.437
4.565	51.293	-2.461
4.632	52.756	-2.468
4.698	54.249	-2.461
4.765	55.788	-2.446
4.832	57.287	-2.446
4.898	58.938	-2.478
4.965	60.697	-2.525
5.032	62.322	-2.527
5.098	63.997	-2.512
5.165	65.735	-2.348
5.232	67.393	-2.323
5.298	69.046	-2.308
5.365	70.879	-2.174
5.432	72.465	-2.088
5.498	74.464	-1.916
5.565	76.353	-1.945
5.631	78.015	-2.110
5.698	80.073	-2.178
5.765	81.976	-2.170
5.831	83.902	-2.134
5.898	85.774	-2.123
5.965	87.872	-1.973
6.031	89.605	-1.913
6.098	91.949	-1.561
6.165	94.339	-1.378
6.231	96.355	-1.358
6.298	98.481	-1.418
6.365	100.710	-1.436
6.431	102.980	-1.463
6.498	105.165	-1.519
6.564	107.383	-1.503
6.631	109.610	-1.501
6.698	111.881	-1.520
6.764	114.206	-1.535
6.831	116.575	-1.550
6.898	118.900	-1.572
6.964	121.269	-1.390
7.031	123.646	-1.367
7.098	125.919	-1.421
7.164	128.411	-1.422
7.231	130.826	-1.416
7.298	133.303	-1.434
7.364	135.828	-1.431
7.431	138.245	-1.466
7.498	140.767	-1.474
7.564	143.071	-1.432
7.631	145.491	-1.494
7.697	148.455	-1.540
7.764	151.327	-1.535
7.831	152.213	-1.512
7.897	149.194	-1.407
7.964	146.722	-1.127
8.031	144.267	-0.812
8.097	142.444	0.367
8.164	140.207	0.707
8.231	137.820	1.222
8.297	135.196	1.630
8.364	132.701	2.059
8.431	130.101	2.811
8.497	127.176	3.243
8.564	125.026	3.799
8.630	122.702	4.011
8.697	120.316	4.568
8.764	118.123	4.994
8.830	115.629	5.552
8.897	113.927	5.436
8.964	111.730	5.411
9.030	109.411	5.559
9.130	106.413	5.105
9.197	104.478	4.753
9.264	102.473	4.321
9.330	100.429	3.870
9.397	98.532	3.329
9.464	96.553	2.781
9.530	94.449	2.236
9.597	92.933	1.691
9.664	90.848	0.966
9.730	89.098	0.226
9.797	87.113	-0.211
9.863	85.237	-0.541
9.930	83.621	-0.625
9.997	82.117	-0.781
10.063	80.332	-0.863
10.130	78.424	-0.791
10.197	76.560	-0.558
10.263	75.049	-0.270
10.330	73.378	0.203
10.397	71.833	0.692
10.463	70.354	0.984
10.530	68.811	1.574
10.597	67.262	2.143
10.663	65.845	3.093
10.730	64.445	3.758
10.796	62.966	4.296
10.863	61.496	4.621
10.930	60.125	4.832
10.996	58.794	4.840
11.063	57.466	4.558
11.130	56.228	4.257
11.196	54.942	3.788
11.263	53.694	3.296
11.330	52.419	2.508
11.430	50.834	1.513
11.496	49.746	1.032
11.563	48.119	0.341
11.630	46.808	-0.338
11.696	46.011	-0.223
11.763	44.632	-0.394
11.829	43.688	-0.495
11.896	42.418	-0.558
11.963	41.633	0.297
12.029	40.732	0.628
12.096	39.833	1.388
12.163	38.937	2.558
12.229	37.865	3.170
12.296	36.813	3.609
12.363	35.850	4.327
12.429	35.335	4.611
12.496	34.558	4.402
12.563	33.464	4.884
12.629	32.771	4.437
12.696	32.056	3.904
12.763	31.146	3.136
12.829	30.731	2.429
12.896	30.121	1.508
12.962	29.364	1.061
13.029	28.927	0.354
13.096	28.148	-0.157
13.162	27.437	-0.173
13.229	26.749	-0.081
13.296	26.408	0.352
13.362	26.068	0.958
13.429	25.473	1.310
13.496	24.941	1.891
13.562	24.569	2.611
13.629	23.937	3.348
13.696	23.412	3.920
13.762	23.087	4.146
13.829	22.634	4.155
13.895	22.327	4.097
13.962	22.065	3.624
14.029	21.848	3.076
14.095	21.561	2.309
14.162	21.496	1.491
14.229	21.329	0.740
14.295	21.088	0.500
14.362	21.054	-0.306
14.429	21.001	-0.539
14.495	20.815	-0.467
14.562	20.814	-0.151
14.629	20.770	0.496
14.695	20.596	1.312
14.762	20.543	2.148
14.828	20.566	2.971
14.895	20.535	3.553
14.962	20.517	3.910
15.028	20.645	4.022
15.095	20.655	3.899
15.162	20.741	3.441
15.228	21.019	2.816
15.295	21.129	2.068
15.362	21.459	1.317
15.428	21.645	0.243
15.495	21.939	-0.454
15.562	22.245	-0.979
15.628	22.431	-1.081
15.695	22.803	-1.004
15.762	23.100	-0.816
15.828	23.528	-0.091
15.895	23.832	0.537
15.961	24.195	1.276
16.028	24.671	2.210
16.095	24.816	2.823
16.161	25.246	3.319
16.228	25.662	3.593
16.295	25.988	3.621
16.361	26.511	3.327
16.428	27.290	2.916
16.495	27.792	2.246
16.561	28.370	1.658
16.628	29.061	1.008
16.695	29.688	0.279
