t	x	y
0.000	0.043	-2.162
0.067	-0.018	-2.259
0.133	0.033	-2.277
0.200	0.142	-2.359
0.267	0.219	-2.377
0.400	1.081	-2.212
0.467	1.642	-2.244
0.533	2.115	-2.252
0.600	2.650	-2.265
0.666	3.225	-2.279
0.733	3.625	-2.241
0.800	4.498	-2.385
0.866	5.098	-2.483
0.933	5.725	-2.530
1.000	6.444	-2.536
1.066	7.488	-2.621
1.133	8.215	-2.556
1.200	9.433	-2.518
1.266	10.557	-2.573
1.333	11.457	-2.495
1.400	12.683	-2.507
1.466	13.943	-2.518
1.533	15.318	-2.509
1.599	16.643	-2.517
1.666	17.920	-2.547
1.733	19.232	-2.554
1.799	20.647	-2.578
1.866	22.339	-2.719
1.933	23.799	-2.784
1.999	25.267	-2.809
2.066	26.919	-2.831
2.133	28.866	-2.954
2.199	30.597	-3.026
2.266	32.269	-3.029
2.333	34.322	-3.066
2.399	36.042	-3.063
2.466	38.198	-3.075
2.532	40.459	-3.128
2.599	42.369	-3.060
2.666	44.396	-3.046
2.732	46.554	-3.088
2.799	48.698	-3.103
2.866	50.724	-3.113
2.932	53.017	-3.124
2.999	55.732	-3.275
3.066	57.732	-3.303
3.132	60.485	-3.469
3.199	62.715	-3.527
3.266	65.414	-3.644
3.332	67.685	-3.776
3.399	70.750	-3.965
3.466	73.062	-4.061
3.532	76.137	-4.252
3.599	78.395	-4.319
3.665	81.748	-4.516
3.732	83.974	-4.549
3.799	86.651	-4.541
3.865	89.461	-4.539
3.932	92.450	-4.660
3.999	95.361	-4.774
4.065	98.328	-4.829
4.132	101.448	-5.019
4.199	104.559	-5.069
4.265	107.708	-5.088
4.332	110.807	-5.150
4.399	114.219	-5.159
4.465	117.396	-5.283
4.532	120.881	-5.431
4.598	124.127	-5.537
4.665	127.340	-5.490
4.732	131.084	-5.599
4.798	134.555	-5.672
4.865	138.022	-5.633
4.932	141.700	-5.851
4.998	145.434	-5.940
5.065	150.135	-6.096
5.132	152.818	-6.139
5.198	147.628	-5.804
5.265	144.486	-5.161
5.332	142.448	-4.903
5.398	137.499	-5.107
5.465	134.337	-4.066
5.531	130.658	-1.753
5.598	127.528	-2.651
5.665	124.379	-3.296
5.731	121.370	-1.142
5.798	117.850	0.247
5.865	115.101	-0.226
5.931	111.795	-0.455
5.998	108.812	1.435
6.065	106.012	1.564
6.131	103.909	1.251
6.198	101.202	1.435
6.265	97.891	2.586
6.331	95.734	1.531
6.398	93.054	0.971
6.465	90.268	1.636
6.531	87.831	1.225
6.598	85.361	0.019
6.664	82.704	0.062
6.731	80.748	0.080
6.798	78.038	-1.664
6.864	76.314	-2.194
6.931	74.117	-2.067
6.998	71.931	-2.949
7.064	69.928	-3.262
7.131	67.838	-3.009
7.198	66.331	-2.952
7.264	64.465	-3.489
7.331	62.485	-3.182
7.398	60.547	-2.247
7.464	58.384	-2.148
7.531	57.357	-1.701
7.597	55.895	-0.368
7.664	54.536	-0.233
7.731	52.936	0.568
7.797	51.432	2.097
7.864	50.228	1.854
7.931	48.658	2.028
7.997	47.600	2.811
8.064	46.290	2.509
8.131	44.912	2.023
8.197	43.691	2.296
8.264	42.521	2.204
8.331	41.377	1.401
8.397	41.098	1.054
8.464	40.325	0.379
8.530	39.232	-0.822
8.597	38.493	-1.166
8.664	38.101	-1.658
8.730	37.127	-1.909
8.797	36.492	-1.921
8.864	35.933	-1.970
8.930	35.205	-1.858
8.997	34.984	-0.929
9.064	34.276	-0.442
9.130	33.810	-0.122
9.197	33.528	0.966
9.264	33.279	1.205
9.330	33.103	1.512
9.397	32.772	2.409
9.464	32.564	3.222
9.530	32.732	2.879
9.597	32.902	2.600
9.663	33.081	2.491
9.730	32.999	2.495
9.797	32.914	1.367
9.863	33.409	0.535
9.930	33.699	-0.327
9.997	33.750	-0.691
10.063	34.804	-1.683
10.130	35.301	-2.110
10.197	35.676	-2.347
10.263	36.160	-2.356
10.330	36.730	-2.170
10.397	37.269	-1.801
