mass_B
t	x	y
0.000	0.040	-2.048
0.067	0.019	-2.055
0.133	0.019	-2.058
0.200	0.032	-2.064
0.267	0.011	-2.080
0.333	0.062	-2.155
0.400	0.060	-2.102
0.467	0.046	-2.231
0.533	0.043	-2.220
0.600	0.043	-2.264
0.666	0.036	-2.267
0.733	0.041	-2.280
0.800	0.031	-2.175
0.866	0.043	-2.218
0.933	0.053	-2.242
1.000	0.065	-2.249
1.066	0.058	-2.303
1.133	0.125	-2.319
1.200	0.086	-2.311
1.266	0.130	-2.310
1.333	0.242	-2.291
1.400	0.315	-2.266
1.466	0.464	-2.277
1.533	0.633	-2.283
1.599	0.619	-2.220
1.666	0.738	-2.294
1.733	0.825	-2.302
1.799	0.911	-2.390
1.866	0.985	-2.516
1.933	1.091	-2.567
1.999	1.848	-2.781
2.066	2.202	-2.389
2.133	2.013	-2.296
2.199	1.975	-2.528
2.266	2.118	-2.391
2.333	2.409	-2.369
2.399	2.551	-2.305
2.466	2.751	-2.296
2.532	3.095	-2.305
2.599	3.303	-2.323
2.666	3.645	-2.442
2.732	4.068	-2.521
2.799	4.729	-2.360
2.866	4.604	-2.629
2.932	4.969	-2.605
2.999	5.377	-2.582
3.066	5.611	-2.586
3.132	6.123	-2.515
3.199	6.481	-2.475
3.266	7.178	-2.309
3.332	7.272	-2.448
3.399	8.029	-2.268
3.466	8.132	-2.350
3.532	8.550	-2.357
3.599	9.005	-2.366
3.665	9.501	-2.419
3.732	9.909	-2.361
3.799	10.618	-2.467
3.865	10.842	-2.578
3.932	11.334	-2.569
3.999	11.830	-2.541
4.065	12.331	-2.540
4.132	12.900	-2.408
4.199	13.639	-2.312
4.265	13.912	-2.285
4.332	14.478	-2.267
4.399	15.006	-2.295
4.465	15.607	-2.313
4.532	16.258	-2.327
4.598	16.856	-2.374
4.665	17.434	-2.470
4.732	18.190	-2.659
4.798	18.678	-2.630
4.865	19.289	-2.796
4.932	19.935	-2.843
5.032	21.123	-2.735
5.098	22.400	-2.551
5.165	22.193	-2.818
5.232	22.903	-2.770
5.298	23.705	-2.632
5.365	24.211	-2.809
5.432	25.036	-2.495
5.498	26.173	-2.021
5.565	26.855	-1.967
5.631	27.655	-2.030
5.698	28.419	-2.036
5.765	29.151	-2.078
5.831	30.006	-2.186
5.898	30.768	-2.247
5.965	31.548	-2.346
6.031	32.504	-2.575
6.098	33.049	-2.569
6.165	33.797	-2.620
6.231	34.597	-2.619
6.298	35.487	-2.568
6.365	36.331	-2.563
6.431	37.147	-2.538
6.498	37.987	-2.484
6.565	38.859	-2.397
6.631	39.913	-2.309
6.698	40.950	-2.251
6.764	41.833	-2.184
6.831	42.785	-2.195
6.898	43.668	-2.166
6.964	44.637	-2.050
7.031	45.626	-2.066
7.098	46.527	-2.031
7.164	47.513	-2.027
7.231	48.543	-2.030
7.298	49.569	-2.162
7.364	50.621	-2.266
7.431	51.679	-2.318
7.498	52.693	-2.326
7.564	53.757	-2.509
7.631	54.865	-2.557
7.697	55.877	-2.563
7.764	56.907	-2.623
7.831	57.987	-2.634
7.897	59.032	-2.584
7.964	60.122	-2.608
8.031	61.305	-2.599
8.097	62.364	-2.636
8.164	63.477	-2.548
8.231	64.652	-2.528
8.297	65.856	-2.507
8.364	66.972	-2.510
8.431	68.190	-2.519
8.497	69.329	-2.447
8.564	70.496	-2.478
8.630	71.714	-2.500
8.697	73.004	-2.197
8.764	74.143	-1.586
8.830	75.392	-1.550
8.897	76.568	-1.594
8.964	77.802	-1.559
9.030	79.034	-1.765
9.097	80.308	-1.967
9.164	81.558	-2.248
9.230	82.905	-2.430
9.297	84.143	-2.646
9.364	85.370	-2.811
9.430	86.725	-2.894
9.497	88.160	-3.047
9.564	89.493	-3.442
9.630	90.778	-3.796
9.697	92.080	-3.857
9.763	93.375	-3.929
9.830	94.730	-3.908
9.897	96.093	-3.864
9.963	97.384	-3.829
10.030	98.827	-3.898
10.097	100.446	-4.027
10.163	101.745	-3.886
10.230	103.295	-3.884
10.297	104.590	-3.878
10.363	106.017	-3.723
10.430	107.563	-3.759
10.497	108.919	-4.137
10.563	110.645	-4.092
10.630	111.977	-4.077
10.696	113.499	-4.099
10.763	114.868	-4.067
10.830	115.952	-4.117
10.896	117.493	-4.191
10.963	119.573	-4.375
11.030	121.219	-4.469
11.096	122.770	-4.579
11.163	124.302	-4.616
11.230	125.943	-4.627
11.296	127.709	-4.760
11.363	129.468	-4.848
11.430	130.943	-4.860
11.496	132.562	-4.891
11.563	134.325	-5.072
11.629	135.716	-5.119
11.696	137.626	-5.304
11.763	139.051	-5.352
11.829	140.927	-5.545
11.896	142.379	-5.617
11.963	143.855	-5.659
12.029	146.011	-5.810
12.096	147.950	-5.907
12.163	150.855	-5.984
12.229	152.037	-5.775
12.296	152.190	-5.927
12.363	150.951	-5.822
12.429	148.444	-5.690
12.496	147.169	-5.121
12.562	145.758	-4.570
12.629	144.060	-4.054
12.696	142.656	-3.492
12.762	141.153	-2.684
12.829	139.437	-2.018
12.896	137.647	-1.684
12.962	135.937	-1.066
13.029	133.891	-0.279
13.096	132.150	0.742
13.162	130.557	1.434
13.229	127.905	0.927
13.296	127.239	0.959
13.362	125.893	0.835
13.429	124.385	1.059
13.496	122.911	1.136
13.562	121.160	1.252
13.629	119.812	0.907
13.695	118.230	0.419
13.762	116.722	-0.137
13.829	115.299	-1.030
13.895	113.776	-1.654
13.962	112.225	-2.331
14.029	110.738	-3.058
14.095	108.987	-3.555
14.162	107.213	-4.038
14.229	106.502	-4.850
14.295	105.498	-5.031
14.362	103.913	-5.441
14.429	102.097	-5.734
14.495	100.979	-5.822
14.562	99.427	-6.058
14.628	97.970	-6.614
14.695	96.748	-7.121
14.762	95.475	-6.712
14.828	94.430	-6.460
14.895	92.771	-5.459
14.962	91.515	-4.351
15.028	91.120	-3.318
15.095	90.365	-2.462
15.162	87.846	-1.091
15.228	86.417	-0.292
15.295	85.408	0.587
15.362	84.163	1.310
15.428	82.795	1.856
15.495	81.638	2.539
15.562	80.444	3.046
15.628	79.310	4.164
15.695	78.101	4.264
15.761	77.019	4.020
15.828	75.966	3.682
15.895	74.732	3.191
15.961	73.682	2.482
16.028	72.476	1.886
16.095	71.295	1.142
16.161	70.292	0.531
16.228	69.164	-0.295
16.295	68.117	-0.847
16.361	67.039	-1.404
16.428	65.991	-1.736
16.495	64.979	-1.965
16.561	63.964	-2.005
16.628	62.983	-2.118
16.728	61.494	-2.035
16.795	60.590	-1.497
16.861	59.693	-0.975
16.928	58.778	-0.230
16.994	57.823	0.590
17.061	56.993	1.508
17.128	56.028	2.617
17.194	54.994	3.239
17.261	54.049	3.692
17.328	53.062	4.120
17.394	52.268	4.249
17.461	51.368	4.217
17.528	50.542	3.974
17.594	49.659	3.504
17.661	48.951	2.959
17.728	48.057	2.186
17.794	47.159	1.414
17.861	46.364	0.624
17.927	45.529	-0.156
17.994	44.733	-0.809
18.061	43.910	-1.418
18.127	43.211	-1.764
18.194	42.413	-1.820
18.261	41.644	-1.870
18.327	40.992	-1.559
18.394	40.305	-1.160
18.461	39.611	-0.491
18.527	38.932	0.291
18.594	38.332	1.194
18.661	37.579	2.050
18.727	36.868	2.824
18.794	36.232	3.454
18.860	35.457	3.808
18.927	34.902	3.959
18.994	34.539	3.828
19.060	33.564	3.584
19.127	32.936	3.116
19.194	32.376	2.433
19.260	31.795	1.679
19.327	31.200	0.913
19.394	30.548	0.001
19.460	29.888	-0.677
19.527	29.333	-1.056
19.594	28.634	-1.303
19.660	28.238	-1.631
19.727	27.699	-1.192
19.794	27.023	-0.709
19.860	26.773	-0.113
19.927	26.333	0.655
19.993	25.719	1.576
20.060	25.354	2.447
20.127	24.852	3.173
20.193	24.388	3.688
20.260	23.900	3.963
20.327	23.461	3.941
20.393	23.093	3.682
20.460	23.007	2.910
20.527	22.333	2.373
20.593	22.024	1.446
20.660	21.618	0.607
20.727	21.157	-0.210
20.793	20.897	-0.911
20.860	20.736	-1.406
20.926	20.159	-1.451
20.993	20.119	-1.470
21.060	20.085	-1.085
21.126	19.757	-0.027
21.193	19.089	0.631
21.260	18.991	1.489
21.326	18.660	2.330
21.393	18.215	3.164
21.460	17.949	3.096
21.526	17.639	4.122
21.593	17.370	3.420
21.660	17.199	2.897
21.726	17.178	2.007
21.793	17.157	1.064
21.860	17.045	0.230
21.926	16.634	-0.470
21.993	16.502	-1.115
22.059	16.281	-1.254
22.126	16.182	-1.216
22.193	16.142	-0.920
22.259	15.879	-0.200
22.326	15.858	0.596
22.426	15.573	2.054
22.493	15.368	2.795
22.559	15.288	3.434
22.626	15.263	3.709
22.693	15.164	3.691
22.759	15.125	3.347
22.826	15.165	2.733
22.893	15.172	1.884
22.959	15.154	1.076
23.026	15.096	0.246
23.093	15.131	-0.457
23.159	15.245	-0.946
23.226	15.166	-0.974
23.292	15.134	-0.764
23.359	15.310	-0.263
23.426	15.320	0.499
23.492	15.444	1.350
23.559	15.609	2.202
23.626	15.649	3.001
23.692	15.668	3.600
23.759	15.838	3.881
23.826	15.935	3.907
23.892	16.483	3.298
23.959	16.937	2.467
24.026	16.837	1.939
24.092	17.164	1.087
24.159	16.892	0.493
24.225	17.141	-0.229
24.292	17.302	-0.693
24.359	17.542	-0.942
24.425	17.955	-0.932
24.492	18.135	-0.496
24.559	18.580	0.081
24.625	18.689	1.035
24.692	19.383	1.738
24.759	19.663	2.169
24.825	20.027	3.201
24.892	19.911	3.634
24.959	20.421	3.763
25.025	20.508	4.142
25.092	20.910	3.695
25.158	21.218	3.094
25.225	21.718	2.243
25.292	22.305	0.682
25.358	22.579	0.590
25.425	23.051	-0.459
25.492	23.158	-0.496
25.558	23.437	-0.748
25.625	24.140	-0.917
25.692	24.329	-0.524
25.758	25.313	-0.496
25.825	25.433	0.641
25.892	25.927	1.380
25.958	26.453	2.254
26.025	26.951	2.972
26.091	27.467	3.700
26.158	28.195	3.709
26.225	28.804	3.890
