Груз
t	x	y
0.000	0.011	-2.022
0.067	-0.070	-1.989
0.133	-0.168	-1.711
0.200	-0.027	-1.508
0.267	0.161	-1.554
0.333	0.026	-1.437
0.400	0.032	-1.332
0.467	0.188	-1.957
0.533	0.314	-1.587
0.600	0.259	-1.814
0.666	0.322	-1.940
0.733	0.371	-1.896
0.800	0.525	-1.895
0.866	0.633	-1.869
0.933	0.728	-1.790
1.000	0.900	-1.717
1.066	1.027	-1.646
1.133	1.175	-1.611
1.200	1.301	-1.623
1.266	1.444	-1.617
1.333	1.650	-1.687
1.400	1.961	-1.793
1.466	2.429	-2.150
1.533	2.386	-1.811
1.599	2.651	-1.918
1.666	2.843	-1.899
1.733	3.087	-1.767
1.799	3.399	-1.619
1.866	3.638	-1.555
1.933	3.915	-1.533
1.999	4.168	-1.478
2.066	4.476	-1.544
2.133	4.824	-1.759
2.199	5.163	-1.621
2.266	5.562	-1.772
2.333	6.081	-1.909
2.399	6.371	-1.880
2.466	6.733	-1.871
2.532	7.186	-1.829
2.599	7.595	-1.831
2.666	7.947	-1.617
2.732	8.401	-1.574
2.799	8.779	-1.438
2.866	9.205	-1.420
2.932	9.701	-1.468
2.999	10.136	-1.462
3.066	11.046	-1.762
3.132	11.216	-1.658
3.199	11.712	-1.778
3.266	12.198	-1.850
3.332	12.723	-1.876
3.399	13.362	-1.976
3.466	13.837	-2.021
3.532	14.335	-2.025
3.599	14.926	-1.981
3.665	15.378	-1.844
3.732	15.919	-1.792
3.799	16.486	-1.623
3.865	17.103	-1.562
3.932	17.673	-1.547
3.999	18.360	-1.538
4.065	18.930	-1.566
4.132	19.597	-1.576
4.199	20.236	-1.595
4.265	20.973	-1.760
4.332	21.561	-1.858
4.399	22.243	-1.847
4.465	22.850	-1.864
4.532	23.500	-1.884
4.632	24.659	-1.965
4.698	25.404	-2.008
4.765	26.126	-1.992
4.832	26.807	-1.854
4.898	27.580	-1.797
4.965	28.276	-1.680
5.032	29.079	-1.601
5.098	29.875	-1.589
5.165	30.653	-1.550
5.232	31.439	-1.497
5.298	32.229	-1.564
5.365	33.037	-1.517
5.432	33.795	-1.596
5.498	34.634	-1.645
5.565	35.542	-1.816
5.632	36.310	-1.831
5.698	37.182	-1.946
5.765	38.123	-2.031
5.831	39.019	-2.069
5.898	39.861	-2.092
5.965	40.804	-2.096
6.031	41.700	-2.080
6.098	42.634	-2.078
6.165	43.602	-2.054
6.231	44.564	-1.986
6.298	45.461	-1.887
6.365	46.452	-1.845
6.431	47.417	-1.792
6.498	48.416	-1.718
6.565	49.387	-1.641
6.631	50.331	-1.592
6.698	51.347	-1.580
6.764	52.360	-1.451
6.831	53.403	-1.494
6.898	54.493	-1.574
6.964	55.542	-1.656
7.031	56.644	-1.775
7.098	57.690	-1.841
7.164	58.752	-1.882
7.231	59.842	-2.033
7.298	60.999	-2.087
7.364	62.066	-2.148
7.431	63.218	-2.155
7.498	64.311	-2.150
7.564	65.444	-2.261
7.631	66.611	-2.316
7.697	67.742	-2.315
7.764	68.877	-2.312
7.831	70.031	-2.301
7.897	71.187	-2.283
7.964	72.387	-2.192
8.031	73.618	-2.087
8.097	74.782	-2.059
8.164	76.001	-2.029
8.231	77.271	-1.918
8.297	78.485	-1.860
8.364	79.734	-1.835
8.431	81.086	-1.722
8.497	82.398	-1.659
8.564	83.675	-1.611
8.631	84.980	-1.612
8.697	86.353	-1.618
8.764	87.627	-1.626
8.830	88.927	-1.620
8.897	90.169	-1.773
8.964	91.521	-1.824
9.030	92.908	-1.843
9.097	94.458	-1.918
9.164	95.849	-1.939
9.230	97.003	-2.021
9.297	98.490	-2.099
9.364	100.018	-2.145
9.430	101.555	-2.167
9.497	102.670	-2.274
9.564	104.076	-2.311
9.630	105.597	-2.323
9.697	106.991	-2.330
9.763	108.437	-2.329
9.830	109.964	-2.328
9.897	111.368	-2.298
9.963	113.037	-2.183
10.030	114.518	-2.104
10.097	116.001	-2.086
10.163	117.519	-2.042
10.230	119.097	-2.024
10.297	121.208	-1.900
10.363	122.546	-1.848
10.430	123.989	-1.813
10.497	125.629	-1.787
10.563	127.153	-1.782
10.630	128.629	-1.784
10.696	130.365	-1.766
10.763	131.935	-1.803
10.830	133.512	-1.807
10.896	135.247	-1.816
10.963	136.915	-1.831
11.030	138.949	-1.834
11.096	140.436	-1.876
11.163	142.063	-1.902
11.230	143.461	-2.008
11.296	145.230	-2.087
11.363	147.392	-2.145
11.430	148.972	-2.268
11.496	151.041	-2.283
11.563	152.095	-2.375
11.630	151.395	-2.347
11.696	149.370	-2.292
11.763	147.869	-2.034
11.829	146.043	-1.708
11.896	144.467	-1.348
11.963	142.956	-0.924
12.029	141.139	-0.532
12.096	139.500	-0.046
12.163	137.629	0.513
12.229	136.149	1.128
12.296	134.423	1.709
12.363	132.857	2.260
12.429	130.631	2.828
12.496	128.872	3.308
12.563	127.371	3.720
12.629	125.532	4.196
12.696	124.257	4.237
12.762	122.818	4.106
12.829	121.153	4.503
12.896	119.750	4.617
12.962	118.439	4.357
13.029	116.779	4.122
13.096	115.431	3.692
13.162	114.004	3.192
13.229	112.406	2.677
13.296	110.910	1.826
13.362	109.278	1.217
13.429	107.987	0.638
13.496	106.485	-0.096
13.562	105.789	-0.056
13.629	104.152	-0.661
13.695	102.741	-1.116
13.762	101.414	-1.520
13.829	99.911	-1.718
13.895	98.504	-1.840
13.962	97.221	-1.950
14.029	95.843	-1.881
14.095	94.541	-1.619
14.162	93.199	-1.255
14.229	91.987	-0.921
14.295	90.703	-0.354
14.362	89.411	0.109
14.429	88.131	0.724
14.495	87.014	1.410
14.562	85.786	2.034
14.629	84.524	2.775
14.695	83.337	3.337
14.762	82.130	3.706
14.828	80.955	4.037
14.895	79.799	4.220
14.962	78.675	4.354
15.028	77.533	4.337
15.095	76.420	4.123
15.162	75.269	3.831
15.228	74.192	3.331
15.295	73.087	2.844
15.362	71.928	2.100
15.428	70.952	1.447
15.495	69.786	0.791
15.562	68.729	0.161
15.628	67.596	-0.410
15.695	66.561	-0.979
15.761	65.451	-1.275
15.828	64.492	-1.516
15.895	63.576	-1.563
15.961	62.462	-1.642
16.028	61.578	-1.288
16.095	60.626	-0.980
16.161	59.629	-0.479
16.228	58.716	0.197
16.295	57.670	0.853
16.361	56.905	1.573
16.428	55.912	2.282
16.495	54.999	2.991
16.561	54.102	3.576
16.628	53.204	4.015
16.694	52.146	4.187
16.761	51.336	4.236
16.828	50.348	4.160
16.894	49.551	3.867
16.961	48.762	3.419
17.028	47.891	2.756
17.094	47.159	2.030
17.161	46.457	1.243
17.228	45.715	0.483
17.294	44.936	-0.214
17.361	44.152	-0.899
17.428	43.387	-1.386
17.494	42.592	-1.694
17.561	41.813	-1.760
17.628	41.183	-1.674
17.694	40.400	-1.441
17.761	39.768	-0.896
17.827	39.413	0.342
17.894	38.639	0.932
17.961	37.795	1.680
18.027	37.057	2.511
18.094	36.376	3.127
18.161	35.715	3.626
18.227	35.021	3.896
18.294	34.340	3.927
18.361	33.721	3.691
18.427	33.198	3.338
18.494	32.574	2.774
18.561	32.017	2.059
18.627	31.543	1.304
18.694	31.000	0.426
18.760	30.418	-0.262
18.827	29.931	-0.849
18.894	29.367	-1.240
18.960	28.870	-1.399
19.027	28.388	-1.259
19.094	27.944	-0.944
19.160	27.317	-0.319
19.227	26.884	0.454
19.294	26.863	1.423
19.360	25.944	2.042
19.427	25.487	2.814
19.494	24.998	3.391
19.560	24.423	3.696
19.627	24.027	3.715
19.694	23.676	3.586
19.760	23.295	3.192
19.827	22.900	2.562
19.894	22.551	1.813
19.960	22.269	0.895
20.027	21.883	0.085
20.093	21.520	-0.542
20.160	21.217	-0.951
20.227	20.940	-1.156
20.293	20.585	-0.992
20.360	20.273	-0.523
20.427	20.029	0.047
20.493	19.783	0.860
20.560	19.460	1.759
20.627	19.162	2.508
20.693	18.895	3.186
20.760	19.051	3.583
20.827	18.897	3.717
20.893	18.629	3.595
20.960	18.472	3.016
21.026	18.280	2.405
21.093	18.123	1.548
21.160	17.955	0.650
21.226	17.785	-0.183
21.293	17.589	-0.693
21.360	17.544	-1.013
21.426	17.462	-1.064
21.493	17.262	-0.706
21.560	17.104	-0.120
21.626	17.008	0.638
21.693	16.954	1.471
21.760	16.832	2.298
21.826	16.702	3.017
21.893	16.663	3.491
21.960	16.565	3.627
22.026	16.590	3.553
22.093	16.612	3.104
22.159	16.611	2.388
22.226	16.687	1.520
22.293	16.717	0.687
22.393	16.724	-0.417
22.459	16.781	-0.849
22.526	16.792	-0.937
22.593	16.958	-0.827
22.659	16.981	-0.355
22.726	17.109	0.307
22.793	17.236	1.136
22.859	17.293	2.088
22.926	17.336	2.830
22.993	17.471	3.376
23.059	17.485	3.630
23.126	17.752	3.624
23.192	17.823	3.292
23.259	18.028	2.702
23.326	18.262	1.925
23.392	18.518	1.195
23.459	18.763	0.131
23.526	18.924	-0.389
23.592	19.117	-0.837
23.659	19.372	-1.070
23.726	19.577	-0.882
23.792	19.980	-0.570
23.859	20.259	0.122
23.926	20.537	0.914
23.992	20.776	1.794
24.059	21.068	2.630
24.125	21.310	3.240
24.192	21.567	3.711
24.259	21.886	3.911
24.325	22.149	3.751
