mass_B
t	x	y
0.000	-0.095	-2.182
0.033	0.139	-2.315
0.067	0.092	-2.363
0.100	0.114	-2.317
0.133	0.099	-2.195
0.167	0.204	-2.104
0.200	0.198	-1.959
0.233	0.145	-1.880
0.267	0.227	-1.683
0.300	0.362	-1.806
0.333	0.557	-1.702
0.367	0.578	-1.743
0.400	0.741	-1.546
0.433	0.732	-1.491
0.467	0.830	-1.500
0.500	0.966	-1.557
0.533	0.975	-1.732
0.566	1.097	-1.613
0.600	1.157	-1.793
0.633	1.443	-2.027
0.666	1.555	-2.247
0.700	1.703	-2.209
0.733	1.757	-2.344
0.766	1.905	-2.381
0.800	1.806	-2.302
0.833	1.962	-2.285
0.866	2.060	-2.187
0.900	2.229	-2.087
0.933	2.461	-1.890
0.966	2.623	-1.922
1.000	2.931	-1.780
1.033	3.017	-1.800
1.066	3.324	-1.637
1.100	3.488	-1.578
1.133	3.841	-1.434
1.166	4.006	-1.357
1.200	4.193	-1.317
1.233	4.529	-1.205
1.266	4.838	-1.216
1.300	5.152	-1.234
1.333	5.389	-1.243
1.366	5.559	-1.339
1.400	5.933	-1.441
1.433	6.268	-1.476
1.466	6.522	-1.753
1.500	6.799	-1.852
1.533	7.021	-2.028
1.566	7.464	-2.214
1.599	7.833	-2.291
1.633	7.956	-2.321
1.666	8.250	-2.394
1.699	8.587	-2.366
1.733	8.745	-2.416
1.766	9.071	-2.398
1.799	9.361	-2.362
1.833	9.694	-2.273
1.866	10.021	-2.228
1.899	10.322	-2.181
1.933	10.819	-2.033
1.966	11.149	-1.992
1.999	11.630	-1.876
2.033	11.897	-1.760
2.066	12.209	-1.723
2.099	12.692	-1.612
2.133	13.062	-1.548
2.166	13.447	-1.550
2.199	13.842	-1.550
2.233	14.219	-1.552
2.266	14.629	-1.562
2.299	14.991	-1.579
2.333	15.440	-1.586
2.366	15.955	-1.625
2.399	16.415	-1.675
2.433	16.757	-1.825
2.466	17.334	-1.960
2.499	17.816	-2.009
2.532	18.335	-2.108
2.566	18.645	-2.223
2.599	19.271	-2.175
2.632	19.660	-2.342
2.666	20.149	-2.381
2.699	20.651	-2.446
2.732	21.035	-2.517
2.766	21.643	-2.394
2.799	21.924	-2.594
2.832	22.436	-2.601
2.866	22.940	-2.609
2.899	23.458	-2.599
2.932	23.939	-2.552
2.966	24.779	-2.309
2.999	25.039	-2.422
3.032	25.476	-2.328
3.066	26.168	-2.232
3.099	26.577	-2.174
3.132	27.527	-1.884
3.166	27.717	-1.949
3.199	28.495	-1.806
3.232	28.929	-1.763
3.266	29.386	-1.728
3.299	30.266	-1.598
3.332	30.678	-1.550
3.366	31.144	-1.496
3.399	32.079	-1.412
3.432	32.700	-1.327
3.466	33.168	-1.369
3.499	33.738	-1.382
3.532	34.394	-1.389
3.565	35.066	-1.418
3.599	35.818	-1.394
3.632	36.340	-1.454
3.665	37.043	-1.488
3.699	37.712	-1.532
3.732	38.535	-1.511
3.765	39.185	-1.629
3.799	39.888	-1.634
3.832	40.272	-1.780
3.865	41.069	-1.758
3.899	41.639	-1.947
3.932	42.427	-1.943
3.965	43.224	-1.965
3.999	44.055	-2.035
4.032	44.768	-2.009
4.065	45.221	-2.131
4.099	46.014	-2.203
4.132	46.778	-2.237
4.165	47.482	-2.254
4.199	48.170	-2.081
4.232	49.001	-2.080
4.265	49.601	-2.071
4.299	50.294	-2.079
4.332	51.328	-1.948
4.365	51.915	-1.987
4.399	53.000	-1.961
4.432	53.448	-1.873
4.465	54.494	-1.737
4.498	55.049	-1.728
4.532	55.857	-1.687
4.565	57.080	-1.522
4.598	57.794	-1.446
4.632	58.548	-1.359
4.665	59.112	-1.292
4.698	60.308	-1.113
4.732	60.662	-0.959
4.765	61.600	-1.008
4.798	62.632	-0.888
4.832	63.672	-0.819
4.865	64.918	-0.699
4.898	65.602	-0.665
4.932	66.271	-0.654
4.965	66.947	-0.649
4.998	68.314	-0.494
5.032	68.824	-0.553
5.065	70.100	-0.450
5.098	70.472	-0.756
5.132	71.828	-0.543
5.165	72.525	-0.575
5.198	73.435	-0.586
5.232	74.197	-0.636
5.265	75.125	-0.661
5.298	75.761	-0.774
5.332	76.629	-0.832
5.365	77.543	-1.014
5.398	78.508	0.068
5.432	79.244	-1.173
5.465	80.370	-1.360
5.498	81.345	-0.127
5.531	82.214	-0.168
5.565	83.231	-0.204
5.598	84.225	-0.255
5.631	85.075	-0.338
5.665	86.103	-0.431
5.698	87.073	-0.431
5.731	88.110	-0.471
5.765	89.156	-0.507
5.798	90.164	-0.628
5.831	91.171	-0.674
5.865	92.223	-0.716
5.898	93.231	-0.768
5.931	94.271	-0.741
5.965	95.276	-0.649
5.998	96.339	-0.722
6.031	97.391	-0.763
6.065	98.583	-0.768
6.098	99.673	-0.776
6.131	100.708	-0.787
6.165	101.796	-0.789
6.198	102.894	-0.772
6.231	103.914	-0.764
6.265	105.045	-0.681
6.298	106.128	-0.655
6.331	107.218	-0.592
6.365	108.353	-0.584
6.398	109.506	-0.534
6.431	110.597	-0.517
6.465	111.745	-0.420
6.498	112.877	-2.041
6.531	114.010	-0.257
6.564	115.171	-0.179
6.598	116.340	-0.016
6.631	117.446	-0.002
6.664	118.624	0.059
6.698	119.761	0.151
6.731	120.980	0.273
6.764	122.150	0.312
6.798	123.325	0.387
6.831	124.507	0.424
6.864	125.768	0.508
6.898	126.892	0.577
6.931	128.123	0.700
6.964	129.306	0.821
6.998	130.563	0.791
7.031	131.790	0.767
7.064	133.006	0.749
7.098	134.272	0.819
7.131	135.561	0.886
7.164	136.835	1.008
7.198	137.897	0.978
7.231	139.207	0.989
7.264	140.165	1.046
7.298	141.379	1.117
7.331	142.482	1.118
7.364	144.009	1.337
7.398	145.510	1.362
7.431	146.517	1.285
7.464	147.922	1.204
7.498	148.600	1.444
7.531	149.910	1.451
7.564	151.357	1.210
7.597	152.157	1.246
7.631	150.752	1.390
7.664	149.436	1.350
7.697	148.285	1.341
7.731	146.243	1.477
7.764	145.595	1.442
7.797	144.307	1.486
7.831	143.676	1.523
7.864	141.669	1.776
7.897	139.952	1.943
7.931	138.664	1.780
7.964	137.271	2.102
7.997	136.309	2.347
8.031	135.655	2.442
8.064	134.576	2.716
8.097	133.762	2.896
8.131	132.607	3.052
8.164	131.320	3.595
8.197	130.307	3.717
8.231	129.115	3.767
8.264	128.257	4.063
8.297	126.616	4.471
8.331	125.229	4.740
8.364	123.986	4.623
8.397	122.759	4.819
8.431	121.579	4.755
8.464	120.387	5.050
8.497	118.902	5.696
8.530	118.293	5.706
8.564	117.219	5.929
8.597	115.923	6.040
8.630	115.043	6.186
8.664	113.897	6.265
8.697	112.775	6.313
8.730	111.728	6.472
8.764	110.736	6.511
8.797	109.610	6.559
8.830	108.333	6.506
8.864	107.266	6.415
8.897	106.315	6.344
8.930	105.367	6.329
8.964	104.265	6.294
8.997	103.243	6.133
9.030	102.208	6.022
9.064	101.138	5.822
9.097	100.057	5.080
9.130	99.270	4.940
9.164	98.218	4.745
