mass_B
t	x	y
0.000	0.395	-1.892
0.067	0.273	-1.639
0.133	0.262	-1.647
0.200	0.247	-1.681
0.267	0.289	-1.840
0.333	0.382	-1.934
0.400	0.532	-2.006
0.467	0.825	-2.364
0.533	1.197	-2.128
0.600	1.481	-2.015
0.666	1.941	-1.944
0.733	2.430	-1.697
0.800	3.023	-1.620
0.866	3.728	-1.590
0.933	4.412	-1.585
1.000	5.126	-1.635
1.066	5.981	-1.758
1.133	6.904	-1.876
1.200	7.797	-1.964
1.266	8.882	-2.127
1.333	9.903	-2.184
1.400	11.01	-2.178
1.466	12.24	-2.249
1.533	13.45	-2.103
1.599	14.78	-1.939
1.666	16.18	-1.871
1.733	17.60	-1.747
1.799	19.04	-1.669
1.866	20.59	-1.714
1.933	22.15	-1.776
1.999	23.78	-1.831
2.066	25.50	-1.882
2.133	27.25	-1.914
2.199	29.15	-1.988
2.266	30.99	-2.134
2.333	32.89	-2.198
2.399	34.89	-2.195
2.466	37.06	-2.305
2.532	39.20	-2.354
2.599	41.32	-2.462
2.666	43.55	-2.548
2.732	45.76	-2.469
2.799	48.18	-2.417
2.866	50.71	-2.361
2.932	53.02	-2.247
2.999	55.58	-2.155
3.066	58.24	-2.087
3.132	60.84	-2.065
3.199	63.51	-2.016
3.266	66.30	-1.897
3.332	69.02	-1.899
3.399	72.06	-1.899
3.466	74.84	-1.903
3.532	77.57	-1.963
3.599	80.77	-2.093
3.665	83.90	-2.154
3.732	86.95	-2.331
3.799	89.78	-2.421
3.865	93.45	-2.587
3.932	96.57	-2.679
3.999	100.1	-2.873
4.065	103.5	-2.988
4.132	106.9	-3.098
4.199	110.4	-3.213
4.265	114.1	-3.396
4.332	117.7	-3.465
4.399	121.6	-3.484
4.465	125.3	-3.621
4.532	129.0	-3.685
4.599	133.0	-3.700
4.665	136.9	-3.800
4.732	140.9	-3.729
4.798	145.1	-3.941
4.865	149.0	-3.701
4.932	152.0	-3.778
4.999	144.4	-3.212
5.098	140.1	-2.565
5.165	136.6	-1.586
5.232	132.3	-2.024
5.298	130.4	-0.553
5.365	126.4	1.569
5.432	122.1	1.237
5.498	118.7	-0.217
5.565	115.9	1.305
5.632	112.2	2.694
5.698	109.2	3.002
5.765	106.3	2.841
5.831	103.6	3.913
5.898	100.1	4.599
5.965	96.71	3.570
6.031	94.11	3.901
6.098	91.17	3.643
6.165	89.24	3.552
6.231	86.18	2.908
6.298	83.27	2.391
6.365	81.27	1.860
6.431	79.05	0.907
6.498	75.86	0.638
6.565	73.75	0
6.631	71.56	-0.909
6.698	69.34	-1.177
6.764	67.47	-1.949
6.831	65.41	-2.247
6.898	64.00	-2.472
6.964	61.95	-2.416
7.031	60.41	-2.415
7.098	58.06	-1.739
7.164	56.12	-1.458
7.231	55.64	-1.412
7.298	54.05	-0.568
7.364	52.67	1.199
7.431	51.47	2.078
7.498	49.63	2.341
7.564	48.03	3.213
7.631	47.91	3.175
7.831	44.75	3.773
7.897	43.55	3.789
7.964	42.81	3.343
8.031	41.80	2.780
8.097	41.13	2.001
8.164	40.53	1.212
8.231	39.77	0.336
8.297	39.21	-0.375
8.364	38.66	-0.733
8.431	38.26	-1.512
8.497	37.83	-1.715
8.564	37.75	-1.693
8.631	37.43	-1.531
8.697	37.29	-1.119
8.764	37.33	-0.393
8.830	37.19	0.216
8.897	37.14	0.991
8.964	37.27	1.901
9.030	37.40	2.677
9.097	37.64	3.297
9.164	37.77	4.251
9.230	38.69	4.175
9.297	38.50	3.925
9.364	39.58	3.561
9.430	39.99	3.111
