mass_A
t	x	y
0.000	0.020	1.649
0.067	-0.040	2.049
0.133	0.209	2.194
0.200	0.009	2.304
0.267	-0.095	2.055
0.333	0.137	1.686
0.400	0.383	1.313
0.467	0.588	0.967
0.533	0.800	0.734
0.600	1.006	0.696
0.666	1.180	0.988
0.733	1.397	1.446
0.800	1.763	1.776
0.866	2.115	2.119
0.933	2.650	2.322
1.000	3.355	2.329
1.066	4.266	2.158
1.133	5.023	1.972
1.200	6.220	1.343
1.266	7.193	0.993
1.333	8.164	0.590
1.400	9.208	0.409
1.466	10.264	0.483
1.533	11.430	0.661
1.599	12.616	0.931
1.666	13.757	1.423
1.733	14.965	1.796
1.799	16.250	2.128
1.866	17.628	2.407
1.933	19.193	2.592
1.999	20.684	2.644
2.066	22.433	2.571
2.133	24.258	2.330
2.199	26.091	2.034
2.266	27.924	1.705
2.333	29.840	1.346
2.399	31.720	1.049
2.466	33.894	0.767
2.532	35.858	0.537
2.599	37.860	0.332
2.666	40.000	0.289
2.732	42.108	0.318
2.799	44.561	0.543
2.866	46.676	0.779
2.932	49.054	0.881
2.999	51.478	1.180
3.066	53.916	1.444
3.132	56.479	1.711
3.199	59.111	1.982
3.266	61.957	2.240
3.332	64.628	2.433
3.399	67.526	2.623
3.466	70.337	2.701
3.532	73.321	2.715
3.599	76.301	2.674
3.665	79.370	2.605
3.732	82.408	2.405
3.799	85.566	2.225
3.865	88.975	2.044
3.932	92.406	1.751
3.999	95.552	1.394
4.065	99.186	1.161
4.132	102.557	0.936
4.199	106.282	0.908
4.265	109.904	0.934
4.332	113.008	-0.217
4.399	117.363	-0.414
4.465	120.966	-0.507
4.532	125.025	-0.698
4.598	128.863	-1.050
4.665	132.780	-0.640
4.732	137.088	-0.430
4.798	140.652	-0.122
4.865	145.167	-0.009
4.932	149.253	0.185
4.998	153.864	0.428
5.065	152.564	0.553
5.132	146.150	0.493
5.198	143.535	0.232
5.265	139.831	0.775
5.332	134.508	0.874
5.398	132.193	0.310
5.465	127.417	-2.741
5.531	123.881	-1.536
5.598	120.559	0.385
5.665	116.812	-2.080
5.731	113.979	-1.943
5.798	110.892	-1.871
5.865	107.286	-3.890
5.931	103.981	-3.485
5.998	101.056	-2.532
6.065	97.853	-4.475
6.131	94.911	-5.066
6.198	92.373	-4.233
6.265	89.644	-4.396
6.331	86.642	-5.411
6.398	84.186	-4.234
6.465	81.620	-3.677
6.531	79.222	-4.635
6.598	77.022	-3.559
6.664	75.212	-2.535
6.731	72.783	-2.992
6.798	69.863	-1.886
6.864	67.824	-1.022
6.931	66.276	-1.095
6.998	64.812	-0.533
7.064	63.042	0.002
7.131	60.664	0.137
7.198	59.162	0.290
7.264	57.360	0.407
7.331	55.806	-0.018
7.398	54.381	-0.464
7.464	52.881	-0.621
7.531	51.536	-1.272
7.597	50.269	-1.729
7.664	49.058	-2.267
7.731	48.200	-2.927
7.797	47.236	-3.501
7.864	46.004	-3.575
7.931	44.863	-4.127
7.997	43.880	-4.500
8.064	43.105	-4.307
8.131	42.855	-4.274
8.197	42.306	-4.126
8.264	41.666	-3.384
8.331	41.072	-2.968
8.397	40.537	-2.464
8.464	40.138	-1.433
8.530	39.961	-1.171
8.597	39.551	-0.628
8.664	39.179	0.112
8.730	39.159	-0.342
8.797	39.230	-0.389
8.864	39.339	-0.119
8.930	39.763	-0.352
8.997	39.851	-1.230
9.064	39.898	-1.531
9.130	39.878	-2.238
9.197	40.700	-3.026
9.264	41.257	-3.292
9.330	41.829	-3.761
9.397	42.249	-4.534
9.464	43.012	-4.154
9.530	43.710	-4.552
9.597	44.561	-4.394
9.663	45.117	-4.137
9.730	46.042	-3.868
9.797	47.129	-3.406
9.863	48.326	-2.404
9.930	49.557	-1.835
9.997	50.142	-1.747
10.063	51.800	-0.872
10.130	53.407	-0.698
