mass_A
t	x	y	v_{x}	v_{y}
0,000	-2,279	-19,01		
0,167	-0,173	-18,82	6,005	2,992
0,333	-0,278	-18,01	-0,347	15,88
0,500	-0,289	-13,53	-5,571E-2	10,12
0,666	-0,296	-14,64	5,631	-10,67
0,833	1,587	-17,08	23,16	-4,588
1,000	7,422	-16,17	44,33	2,538
1,166	16,36	-16,24	64,73	6,868
1,333	28,99	-13,88	82,27	4,768
1,500	43,78	-14,65	100,8	-10,47
1,666	62,57	-17,37	122,7	-12,04
1,833	84,67	-18,66	141,5	-0,925
1,999	109,7	-17,68	159,0	9,504
2,166	137,7	-15,49	176,3	10,75
2,333	168,5	-14,09	193,7	3,905
2,499	202,2	-14,19	212,3	-7,545
2,666	239,2	-16,61	232,1	-12,17
2,832	279,5	-18,25	250,0	-10,51
2,999	322,5	-20,11	265,9	-7,323
3,166	368,1	-20,69	288,8	-1,502
3,332	418,8	-20,61	306,3	5,674
3,499	470,2	-18,79	319,9	10,38
3,665	525,3	-17,15	338,0	6,776
3,832	582,8	-16,54	349,8	1,187
3,999	641,9	-16,76	376,9	-9,825
4,165	708,4	-19,81	392,3	-18,11
4,332	772,6	-22,79	407,0	-13,29
4,499	844,1	-24,24	429,8	-10,61
4,665	915,9	-26,33	448,6	-14,34
4,832	993,5	-29,02	464,9	-10,53
4,998	1,071E3	-29,83	476,3	-6,444
5,165	1,152E3	-31,16	492,6	1,387
5,332	1,235E3	-29,37	113,9	31,42
5,498	1,190E3	-20,69	-357,2	46,24
5,698	1,104E3	-12,42	-422,4	71,41
5,865	1,035E3	5,484	-421,9	84,32
6,031	963,4	15,68	-425,8	61,13
6,198	893,5	25,85	-396,5	69,03
6,365	831,3	38,68	-367,0	24,39
6,531	771,2	33,98	-336,8	-39,74
6,698	719,0	25,44	-314,8	-58,89
6,864	666,3	14,36	-312,3	-72,94
7,031	615,0	1,131	-286,0	-70,69
7,198	571,0	-9,197	-245,1	-53,98
7,364	533,3	-16,86	-228,6	-20,38
7,531	494,8	-15,99	-215,7	24,05
7,698	461,4	-8,843	-181,2	79,18
7,864	434,4	10,40	-165,6	98,11
8,031	406,2	23,85	-166,3	75,55
8,197	379,0	35,57	-132,8	21,48
8,364	362,0	31,01	-100,3	-51,70
8,531	345,6	18,34		
8,864	319,0	-5,981		
9,364	307,7	10,54		
9,530	313,2	21,15	34,96	68,45
9,697	319,4	33,35	68,16	29,99
9,863	335,9	31,14		
