mass_A
t	x	y
0,000	-0,402	-2,084
0,067	-0,387	-2,092
0,133	-0,297	-2,104
0,200	-0,231	-2,110
0,267	0,111	-1,958
0,333	0,372	-2,334
0,400	0,748	-2,132
0,467	1,288	-2,153
0,533	1,736	-2,146
0,600	2,263	-2,141
0,666	2,886	-2,135
0,733	3,539	-2,148
0,800	4,384	-2,196
0,866	5,246	-2,225
0,933	6,121	-2,250
1,000	7,131	-2,294
1,066	8,183	-2,327
1,133	9,263	-2,347
1,200	10,351	-2,378
1,266	11,582	-2,405
1,333	12,751	-2,413
1,400	14,026	-2,405
1,466	15,563	-2,386
1,533	16,912	-2,303
1,599	18,350	-2,310
1,666	20,075	-2,257
1,733	21,563	-2,182
1,799	23,156	-2,230
1,866	24,861	-2,256
1,933	26,657	-2,299
1,999	28,502	-2,355
2,066	30,368	-2,399
2,133	32,386	-2,450
2,199	34,345	-2,514
2,266	36,441	-2,563
2,333	38,543	-2,608
2,399	40,671	-2,650
2,466	42,867	-2,682
2,532	45,167	-2,745
2,599	47,459	-2,788
2,666	50,153	-2,748
2,732	52,502	-2,713
2,799	55,034	-2,745
2,866	57,814	-2,698
2,932	60,337	-2,666
2,999	63,025	-2,711
3,066	65,928	-2,686
3,132	68,661	-2,636
3,199	71,475	-2,700
3,266	74,446	-2,751
3,332	77,412	-2,796
3,399	80,395	-2,812
3,466	83,646	-2,777
3,532	86,817	-2,827
3,599	89,938	-2,887
3,665	93,241	-2,956
3,732	96,574	-3,016
3,799	99,932	-3,104
3,865	103,428	-3,174
3,932	106,850	-3,144
3,999	110,452	-3,199
4,065	114,050	-3,273
4,132	117,768	-3,341
4,199	121,569	-3,432
4,265	125,512	-3,450
4,332	129,367	-3,560
4,399	133,196	-3,545
4,465	137,242	-3,610
4,532	141,320	-3,670
4,598	145,343	-3,600
4,665	149,615	-2,089
4,732	153,379	-1,865
4,798	146,811	-1,699
4,865	142,221	-1,431
4,932	141,085	-1,074
4,998	135,949	-1,441
5,065	131,882	-1,436
5,132	128,107	1,943
5,198	124,466	2,683
5,265	121,585	0,794
5,332	116,800	1,160
5,398	114,733	3,534
5,465	111,214	4,480
5,531	108,013	2,848
5,598	104,814	3,717
5,665	102,095	5,635
5,731	99,412	5,201
5,798	96,316	3,809
5,865	93,242	4,942
5,931	90,866	5,508
5,998	87,812	3,587
6,065	85,542	3,152
6,131	83,045	4,126
6,198	81,007	2,961
6,265	78,520	1,008
6,331	76,002	1,368
6,398	73,650	1,214
6,465	71,193	-0,174
6,531	69,203	-0,845
6,598	67,049	-0,587
6,665	64,781	-1,608
6,731	63,226	-1,943
6,798	61,354	-1,111
6,864	59,865	-0,780
6,931	58,132	-1,642
6,998	56,193	-0,289
7,064	54,864	0,412
7,131	53,200	0,282
7,198	52,058	1,797
7,264	50,614	2,691
7,331	49,386	2,664
7,398	48,128	3,560
7,464	46,813	4,302
7,531	46,002	3,955
7,598	44,937	3,885
7,664	43,800	4,457
7,731	42,984	3,943
7,798	42,304	2,966
7,864	41,340	2,919
7,931	40,850	1,984
7,997	40,011	0,968
8,064	39,612	0,839
8,131	38,930	-0,158
8,197	38,559	-0,923
8,264	38,467	-0,873
8,331	38,050	-1,228
8,397	37,799	-1,300
8,464	37,837	-0,731
8,531	37,695	-0,447
8,597	37,544	-0,112
8,664	37,552	1,247
8,731	37,579	1,817
8,797	37,547	1,940
8,864	37,818	2,793
8,930	38,076	3,572
8,997	38,365	3,729
9,064	38,710	4,215
9,130	39,483	3,951
9,197	39,684	3,117
9,264	40,257	3,475
9,330	41,007	2,759
9,397	41,694	1,792
9,464	42,467	1,437
9,530	43,252	0,724
9,597	44,301	-0,334
9,664	45,267	-0,530
9,730	46,184	-0,913
9,797	46,789	-1,096
9,864	48,136	-0,952
