mass_A
t	x	y	v_{x}	v_{y}
0,000	0,145	-17,13		
0,033	0,189	-17,19	0,190	-1,327
0,067	0,157	-17,22	-1,314	1,078
0,100	0,102	-17,12	-1,840	1,635
0,133	3,456E-2	-17,11	-1,733	8,679E-2
0,167	-1,386E-2	-17,11	-0,570	-0,603
0,200	-3,456E-3	-17,15	0,305	-1,330
0,233	6,447E-3	-17,20	0,634	-0,930
0,267	3,880E-2	-17,21	0,764	-1,077
0,300	5,738E-2	-17,27	0,225	-3,560
0,333	5,378E-2	-17,45	1,865	-4,340
0,367	0,182	-17,56	3,150	-1,335
0,400	0,264	-17,54	5,961	-0,366
0,433	0,579	-17,59	17,18	-3,379
0,500	1,981	-17,87	17,86	-2,967
0,533	2,364	-17,88	10,78	3,676
0,566	2,700	-17,63	17,73	8,554
0,600	3,546	-17,31	28,06	3,814
0,633	4,570	-17,37	28,61	-1,771
0,666	5,453	-17,43	22,98	0,738
0,700	6,102	-17,32	16,69	0,559
0,733	6,565	-17,39	16,26	-2,979
0,766	7,186	-17,52	20,96	0,179
0,800	7,962	-17,38	71,44	4,732
0,833	11,95	-17,21	103,0	2,268
0,866	14,83	-17,23	29,77	5,172
0,900	13,93	-16,86	24,17	-19,11
0,933	16,44	-18,50	56,65	-13,96
0,966	17,71	-17,79	21,70	10,64
1,000	17,89	-17,79	2,703	-2,123E-2
1,033	17,89	-17,79	29,73	-0,233
1,066	19,87	-17,81	67,48	-11,34
1,100	22,38	-18,55	5,082	16,37
1,133	20,21	-16,72	-13,69	22,00
1,166	21,47	-17,08	40,49	-8,366
1,200	22,90	-17,28	44,80	-2,694
1,233	24,46	-17,26	41,08	-0,152
1,266	25,64	-17,29	41,17	-0,949
1,300	27,20	-17,33	62,78	0,168
1,333	29,83	-17,28	74,83	1,223
1,366	32,19	-17,25	70,45	0,238
1,400	34,52	-17,26	67,09	-0,626
1,433	36,66	-17,29	66,16	3,141
1,466	38,93	-17,05	63,28	-2,947E-2
1,500	40,87	-17,29	65,58	-5,015E-2
1,533	43,30	-17,05	70,63	1,850
1,566	45,58	-17,17	67,65	-3,491
1,599	47,81	-17,29	63,04	-2,759
1,633	49,78	-17,35	61,53	-1,151
1,666	51,91	-17,36	67,90	0,580
1,699	54,31	-17,31	76,66	-0,817
1,733	57,02	-17,42	80,20	-3,165
1,766	59,65	-17,52	76,86	-1,468
1,799	62,14	-17,52	66,34	-1,012
1,833	64,07	-17,59	69,22	-1,689
1,866	66,76	-17,63	81,50	-0,368
1,899	69,51	-17,61	77,93	-0,199
1,933	71,95	-17,64	68,84	-2,186
1,966	74,09	-17,76	71,61	-2,008
1,999	76,72	-17,78	79,13	-2,569E-3
2,033	79,37	-17,76	81,32	-0,399
2,066	82,14	-17,80	79,35	-0,731
2,099	84,66	-17,81	92,12	-1,002
2,133	88,28	-17,87	92,53	-3,388
2,166	90,82	-18,03	86,76	-3,555
2,199	94,06	-18,11	93,30	1,508
2,233	97,04	-17,93	84,52	3,825
2,266	99,70	-17,85	94,29	1,045
2,299	103,3	-17,86	102,7	-0,494
2,333	106,5	-17,88	102,4	-0,363
2,366	110,1	-17,89	99,64	-2,023
2,399	113,2	-18,02	98,15	-2,227
2,433	116,7	-18,04	104,3	1,388
2,466	120,1	-17,93	101,4	0,159
2,499	123,4	-18,03	108,4	-2,078
2,533	127,4	-18,06	111,0	-0,158
2,566	130,8	-18,04	98,64	0,104
2,599	133,9	-18,06	106,6	-0,971
2,632	138,0	-18,10	121,6	-2,670
2,666	142,0	-18,24	114,7	-4,878
2,699	145,6	-18,43	108,2	-1,019
2,732	149,2	-18,30	112,2	5,107
2,766	153,1	-18,09	108,5	0,398
2,799	156,5	-18,28	107,6	-4,995
2,832	160,2	-18,42	117,5	-1,748
2,866	164,3	-18,39	122,5	0,564
2,899	168,4	-18,38	127,8	-1,247
2,932	172,8	-18,48	128,0	-3,332
2,966	176,9	-18,60	125,9	-1,628
2,999	181,2	-18,59	127,1	0,287
3,032	185,4	-18,58	125,1	-0,639
3,066	189,5	-18,63	132,0	-0,923
3,099	194,2	-18,65	138,0	-1,346
3,132	198,7	-18,72	133,8	-1,476
3,166	203,1	-18,74	131,8	-0,129
3,199	207,5	-18,73	130,5	-0,240
3,232	211,8	-18,76	131,1	-1,388
3,266	216,3	-18,82	132,0	-1,043
3,299	220,6	-18,83	135,0	-0,784
3,332	225,3	-18,87	138,6	-0,968
3,366	229,9	-18,89	145,5	-0,903
3,399	235,0	-18,93	152,3	-1,743
3,432	240,0	-19,01	145,9	0,276
3,466	244,7	-18,91	147,8	1,297
3,499	249,9	-18,92	151,7	-1,797
3,532	254,8	-19,03	144,4	-2,241
3,565	259,5	-19,07	139,5	-1,292
3,599	264,1	-19,12	147,7	0,469
3,632	269,3	-19,04	159,5	-0,231
3,665	274,7	-19,13	164,7	-3,368
3,699	280,3	-19,27	159,4	-2,606
3,732	285,3	-19,31	147,2	-1,228
3,765	290,1	-19,35	152,9	-0,816
3,799	295,5	-19,36	157,5	1,032
3,832	300,6	-19,28	159,6	2,769
3,865	306,2	-19,18	163,9	-2,109
3,899	311,5	-19,42	155,3	-4,552
3,932	316,5	-19,48	153,8	-0,513
3,965	321,8	-19,45	157,8	-1,564
3,999	327,0	-19,58	164,7	-1,117
4,032	332,8	-19,53	176,3	1,253
4,065	338,8	-19,50	169,8	-3,415
4,099	344,1	-19,76	164,3	-4,377
4,132	349,7	-19,79	165,4	-0,571
4,165	355,1	-19,79	165,7	2,655
4,199	360,8	-19,62	172,8	6,312
4,232	366,6	-19,37	177,0	-2,671
4,265	372,6	-19,79	172,2	-9,298
4,299	378,1	-19,99	178,6	-4,172
4,332	384,5	-20,07	189,9	-2,384
4,365	390,7	-20,15	190,0	-1,793
4,399	397,1	-20,19	189,9	-1,720
4,432	403,4	-20,27	188,7	-2,487
4,465	409,7	-20,36	182,5	-1,692
4,499	415,6	-20,38	189,0	-1,543
4,532	422,3	-20,46	201,4	-3,017
4,565	429,0	-20,58	188,4	-2,402
4,598	434,9	-20,62	183,6	-0,961
4,632	441,2	-20,65	189,5	-0,211
4,665	447,5	-20,63	187,4	0,975
4,698	453,7	-20,58	191,4	1,243
4,732	460,3	-20,55	193,2	1,894
4,765	466,6	-20,45	188,5	2,403
4,798	472,8	-20,39	188,1	-7,004E-2
4,832	479,1	-20,46	201,3	-3,060
4,865	486,2	-20,60	207,2	-4,030
4,898	492,9	-20,73	205,0	-5,952
