mass_B
t	x	y
0,000	-0,796	-18,34
0,033	1,165	-19,46
0,067	0,774	-19,86
0,100	0,956	-19,47
0,133	0,831	-18,45
0,167	1,718	-17,69
0,200	1,661	-16,46
0,233	1,219	-15,80
0,267	1,910	-14,14
0,300	3,040	-15,18
0,333	4,684	-14,30
0,367	4,856	-14,65
0,400	6,225	-12,99
0,433	6,152	-12,53
0,467	6,975	-12,61
0,500	8,116	-13,08
0,533	8,190	-14,56
0,566	9,218	-13,55
0,600	9,724	-15,07
0,633	12,13	-17,04
0,666	13,07	-18,89
0,700	14,31	-18,57
0,733	14,76	-19,70
0,766	16,01	-20,01
0,800	15,18	-19,35
0,833	16,49	-19,21
0,866	17,31	-18,38
0,900	18,73	-17,54
0,933	20,69	-15,88
0,966	22,04	-16,15
1,000	24,64	-14,96
1,033	25,36	-15,13
1,066	27,93	-13,76
1,100	29,32	-13,26
1,133	32,29	-12,05
1,166	33,67	-11,40
1,200	35,24	-11,07
1,233	38,07	-10,13
1,266	40,66	-10,22
1,300	43,30	-10,37
1,333	45,29	-10,45
1,366	46,72	-11,25
1,400	49,86	-12,11
1,433	52,68	-12,40
1,466	54,81	-14,73
1,500	57,15	-15,56
1,533	59,01	-17,05
1,566	62,73	-18,61
1,599	65,83	-19,26
1,633	66,87	-19,50
1,666	69,33	-20,12
1,699	72,17	-19,88
1,733	73,50	-20,31
1,766	76,24	-20,15
1,799	78,67	-19,85
1,833	81,47	-19,11
1,866	84,22	-18,72
1,899	86,75	-18,33
1,933	90,93	-17,09
1,966	93,70	-16,74
1,999	97,74	-15,77
2,033	99,99	-14,79
2,066	102,6	-14,48
2,099	106,7	-13,55
2,133	109,8	-13,01
2,166	113,0	-13,03
2,199	116,3	-13,03
2,233	119,5	-13,05
2,266	123,0	-13,13
2,299	126,0	-13,27
2,333	129,8	-13,33
2,366	134,1	-13,66
2,399	138,0	-14,08
2,433	140,8	-15,34
2,466	145,7	-16,48
2,499	149,7	-16,89
2,532	154,1	-17,72
2,566	156,7	-18,69
2,599	162,0	-18,28
2,632	165,2	-19,69
2,666	169,3	-20,01
2,699	173,6	-20,56
2,732	176,8	-21,15
2,766	181,9	-20,12
2,799	184,3	-21,80
2,832	188,6	-21,86
2,866	192,8	-21,93
2,899	197,2	-21,85
2,932	201,2	-21,45
2,966	208,3	-19,41
2,999	210,4	-20,36
3,032	214,1	-19,57
3,066	219,9	-18,76
3,099	223,4	-18,27
3,132	231,4	-15,84
3,166	233,0	-16,38
3,199	239,5	-15,18
3,232	243,1	-14,82
3,266	247,0	-14,52
3,299	254,4	-13,43
3,332	257,8	-13,03
3,366	261,8	-12,58
3,399	269,6	-11,87
3,432	274,8	-11,15
3,466	278,8	-11,51
3,499	283,6	-11,62
3,532	289,1	-11,67
3,565	294,7	-11,92
3,599	301,0	-11,71
3,632	305,4	-12,22
3,665	311,3	-12,51
3,699	317,0	-12,87
3,732	323,9	-12,70
3,765	329,3	-13,69
3,799	335,2	-13,73
3,832	338,5	-14,96
3,865	345,2	-14,77
3,899	350,0	-16,36
3,932	356,6	-16,33
3,965	363,3	-16,51
3,999	370,3	-17,10
4,032	376,3	-16,88
4,065	380,1	-17,91
4,099	386,7	-18,52
4,132	393,2	-18,80
4,165	399,1	-18,94
4,199	404,9	-17,49
4,232	411,8	-17,48
4,265	416,9	-17,41
4,299	422,7	-17,47
4,332	431,4	-16,37
4,365	436,3	-16,70
4,399	445,4	-16,48
4,432	449,2	-15,74
4,465	458,0	-14,60
4,498	462,7	-14,52
4,532	469,5	-14,18
4,565	479,7	-12,79
4,598	485,7	-12,16
4,632	492,1	-11,42
4,665	496,8	-10,86
4,698	506,9	-9,351
4,732	509,8	-8,057
4,765	517,7	-8,472
4,798	526,4	-7,461
4,832	535,1	-6,887
4,865	545,6	-5,874
4,898	551,4	-5,588
4,932	557,0	-5,499
4,965	562,7	-5,457
4,998	574,2	-4,152
5,032	578,4	-4,650
5,065	589,2	-3,780
5,098	592,3	-6,355
5,132	603,7	-4,560
5,165	609,5	-4,833
5,198	617,2	-4,923
5,232	623,6	-5,342
5,265	631,4	-5,556
5,298	636,8	-6,502
5,332	644,0	-6,989
5,365	651,7	-8,523
5,398	659,8	0,575
5,432	666,0	-9,859
5,465	675,5	-11,43
5,498	683,7	-1,071
5,531	691,0	-1,410
5,565	699,5	-1,719
5,598	707,9	-2,140
5,631	715,0	-2,843
5,665	723,7	-3,624
5,698	731,8	-3,621
5,731	740,5	-3,960
5,765	749,3	-4,264
5,798	757,8	-5,279
5,831	766,3	-5,665
5,865	775,1	-6,017
5,898	783,6	-6,455
5,931	792,3	-6,228
5,965	800,8	-5,451
5,998	809,7	-6,072
6,031	818,5	-6,410
6,065	828,6	-6,456
6,098	837,7	-6,525
6,131	846,4	-6,619
6,165	855,6	-6,631
6,198	864,8	-6,486
6,231	873,4	-6,423
6,265	882,9	-5,723
6,298	892,0	-5,505
6,331	901,1	-4,976
6,365	910,7	-4,911
6,398	920,4	-4,487
6,431	929,5	-4,342
6,465	939,2	-3,527
6,498	948,7	-17,15
6,531	958,2	-2,159
6,564	968,0	-1,505
6,598	977,8	-0,137
6,631	987,1	-1,353E-2
6,664	997,0	0,497
6,698	1,007E3	1,271
6,731	1,017E3	2,294
6,764	1,027E3	2,625
6,798	1,037E3	3,249
6,831	1,046E3	3,565
6,864	1,057E3	4,269
6,898	1,066E3	4,853
6,931	1,077E3	5,879
6,964	1,087E3	6,904
6,998	1,097E3	6,652
7,031	1,108E3	6,445
7,064	1,118E3	6,293
7,098	1,129E3	6,883
7,131	1,139E3	7,449
7,164	1,150E3	8,469
7,198	1,159E3	8,222
7,231	1,170E3	8,310
7,264	1,178E3	8,794
7,298	1,188E3	9,385
7,331	1,198E3	9,395
7,364	1,210E3	11,24
7,398	1,223E3	11,45
7,431	1,231E3	10,80
7,464	1,243E3	10,12
7,498	1,249E3	12,13
7,531	1,260E3	12,19
7,564	1,272E3	10,17
