mass_B
t	x	y
0,000	9,346E-2	-16,94
0,067	-0,587	-16,67
0,133	-1,411	-14,34
0,200	-0,227	-12,64
0,267	1,351	-13,02
0,333	0,221	-12,04
0,400	0,268	-11,16
0,467	1,579	-16,40
0,533	2,634	-13,30
0,600	2,168	-15,20
0,666	2,701	-16,26
0,733	3,106	-15,89
0,800	4,400	-15,88
0,866	5,305	-15,66
0,933	6,103	-15,00
1,000	7,543	-14,39
1,066	8,607	-13,79
1,133	9,848	-13,50
1,200	10,90	-13,60
1,266	12,10	-13,55
1,333	13,83	-14,14
1,400	16,43	-15,03
1,466	20,35	-18,02
1,533	20,00	-15,18
1,599	22,21	-16,08
1,666	23,83	-15,92
1,733	25,87	-14,81
1,799	28,49	-13,56
1,866	30,49	-13,03
1,933	32,81	-12,85
1,999	34,93	-12,39
2,066	37,51	-12,94
2,133	40,43	-14,74
2,199	43,27	-13,58
2,266	46,61	-14,85
2,333	50,96	-16,00
2,399	53,39	-15,76
2,466	56,43	-15,68
2,532	60,22	-15,33
2,599	63,65	-15,34
2,666	66,60	-13,55
2,732	70,40	-13,19
2,799	73,57	-12,05
2,866	77,15	-11,90
2,932	81,30	-12,30
2,999	84,95	-12,25
3,066	92,57	-14,77
3,132	94,00	-13,89
3,199	98,15	-14,90
3,266	102,2	-15,50
3,332	106,6	-15,72
3,399	112,0	-16,56
3,466	116,0	-16,94
3,532	120,1	-16,97
3,599	125,1	-16,60
3,665	128,9	-15,46
3,732	133,4	-15,01
3,799	138,2	-13,60
3,865	143,3	-13,09
3,932	148,1	-12,96
3,999	153,9	-12,89
4,065	158,6	-13,13
4,132	164,2	-13,21
4,199	169,6	-13,36
4,265	175,8	-14,75
4,332	180,7	-15,57
4,399	186,4	-15,48
4,465	191,5	-15,63
4,532	196,9	-15,79
4,632	206,7	-16,46
4,698	212,9	-16,83
4,765	218,9	-16,70
4,832	224,7	-15,54
4,898	231,1	-15,06
4,965	237,0	-14,08
5,032	243,7	-13,42
5,098	250,4	-13,32
5,165	256,9	-12,99
5,232	263,5	-12,54
5,298	270,1	-13,11
5,365	276,9	-12,71
5,432	283,2	-13,37
5,498	290,3	-13,79
5,565	297,9	-15,22
5,632	304,3	-15,35
5,698	311,6	-16,31
5,765	319,5	-17,02
5,831	327,0	-17,34
5,898	334,1	-17,53
5,965	342,0	-17,56
6,031	349,5	-17,43
6,098	357,3	-17,41
6,165	365,4	-17,22
6,231	373,5	-16,64
6,298	381,0	-15,82
6,365	389,3	-15,46
6,431	397,4	-15,02
6,498	405,7	-14,40
6,565	413,9	-13,76
6,631	421,8	-13,34
6,698	430,3	-13,24
6,764	438,8	-12,16
6,831	447,5	-12,52
6,898	456,7	-13,19
6,964	465,5	-13,88
7,031	474,7	-14,87
7,098	483,5	-15,43
7,164	492,4	-15,77
7,231	501,5	-17,04
7,298	511,2	-17,49
7,364	520,1	-18,00
7,431	529,8	-18,06
7,498	539,0	-18,02
7,564	548,5	-18,95
7,631	558,2	-19,41
7,697	567,7	-19,40
7,764	577,2	-19,37
7,831	586,9	-19,28
7,897	596,6	-19,13
7,964	606,6	-18,37
8,031	617,0	-17,49
8,097	626,7	-17,26
8,164	636,9	-17,00
8,231	647,6	-16,08
8,297	657,7	-15,59
8,364	668,2	-15,38
8,431	679,5	-14,43
8,497	690,5	-13,91
8,564	701,2	-13,50
8,631	712,2	-13,51
8,697	723,7	-13,56
8,764	734,4	-13,62
8,830	745,3	-13,58
8,897	755,7	-14,86
8,964	767,0	-15,28
9,030	778,6	-15,44
9,097	791,6	-16,07
9,164	803,3	-16,25
9,230	812,9	-16,94
9,297	825,4	-17,59
9,364	838,2	-17,97
9,430	851,1	-18,16
9,497	860,4	-19,06
9,564	872,2	-19,36
9,630	885,0	-19,47
9,697	896,6	-19,52
9,763	908,8	-19,51
9,830	921,5	-19,51
9,897	933,3	-19,26
9,963	947,3	-18,29
10,030	959,7	-17,64
10,097	972,1	-17,48
10,163	984,9	-17,12
10,230	998,1	-16,96
10,297	1,016E3	-15,92
10,363	1,027E3	-15,48
10,430	1,039E3	-15,20
10,497	1,053E3	-14,97
10,563	1,066E3	-14,94
10,630	1,078E3	-14,95
10,696	1,093E3	-14,80
10,763	1,106E3	-15,11
10,830	1,119E3	-15,14
10,896	1,133E3	-15,22
10,963	1,147E3	-15,34
11,030	1,164E3	-15,37
11,096	1,177E3	-15,72
11,163	1,191E3	-15,94
11,230	1,202E3	-16,83
11,296	1,217E3	-17,49
11,363	1,235E3	-17,98
11,430	1,248E3	-19,01
11,496	1,266E3	-19,13
11,563	1,275E3	-19,90
11,630	1,269E3	-19,67
11,696	1,252E3	-19,21
11,763	1,239E3	-17,04
11,829	1,224E3	-14,31
11,896	1,211E3	-11,30
11,963	1,198E3	-7,743
12,029	1,183E3	-4,458
12,096	1,169E3	-0,384
12,163	1,153E3	4,303
12,229	1,141E3	9,457
12,296	1,127E3	14,32
12,363	1,113E3	18,94
12,429	1,095E3	23,70
12,496	1,080E3	27,72
12,563	1,067E3	31,18
12,629	1,052E3	35,17
12,696	1,041E3	35,51
12,762	1,029E3	34,41
12,829	1,015E3	37,74
12,896	1,004E3	38,69
12,962	992,6	36,51
13,029	978,7	34,54
13,096	967,4	30,94
13,162	955,4	26,75
13,229	942,0	22,43
13,296	929,5	15,30
13,362	915,8	10,20
13,429	905,0	5,346
13,496	892,4	-0,806
13,562	886,6	-0,465
13,629	872,8	-5,541
13,695	861,0	-9,356
13,762	849,9	-12,74
13,829	837,3	-14,40
13,895	825,5	-15,42
13,962	814,8	-16,34
14,029	803,2	-15,77
14,095	792,3	-13,57
14,162	781,1	-10,52
14,229	770,9	-7,719
14,295	760,1	-2,967
14,362	749,3	0,910
14,429	738,6	6,064
14,495	729,2	11,82
14,562	718,9	17,05
14,629	708,4	23,26
14,695	698,4	27,97
14,762	688,3	31,05
14,828	678,4	33,83
14,895	668,8	35,37
14,962	659,3	36,49
15,028	649,8	36,35
15,095	640,4	34,56
15,162	630,8	32,11
