mass_B
t	x	y
0,000	0,254	1,780
0,067	0,032	1,743
0,133	-0,097	1,730
0,200	-0,056	1,523
0,267	-0,175	1,507
0,333	-0,109	1,489
0,400	-0,094	1,515
0,467	0,176	1,523
0,533	0,189	1,736
0,600	0,543	1,803
0,666	0,829	1,876
0,733	1,140	1,955
0,800	1,459	1,865
0,866	2,046	1,802
0,933	2,438	1,745
1,000	3,102	1,537
1,066	3,604	1,471
1,133	4,305	1,285
1,200	5,096	1,303
1,266	5,668	1,410
1,333	6,479	1,484
1,400	7,315	1,477
1,466	8,083	1,667
1,533	9,035	1,762
1,599	10,073	1,756
1,666	11,068	1,801
1,733	12,131	1,765
1,799	13,217	1,732
1,866	14,522	1,605
1,933	15,616	1,496
1,999	16,762	1,423
2,066	18,238	1,283
2,133	19,419	1,273
2,199	20,900	1,212
2,266	22,303	1,235
2,333	23,959	1,236
2,399	25,654	1,256
2,466	26,931	1,422
2,533	28,753	1,478
2,599	30,605	1,521
2,666	32,059	1,673
2,732	34,030	1,730
2,799	35,826	1,745
2,866	37,788	1,742
2,966	40,648	1,743
3,032	42,576	1,716
3,099	45,014	1,558
3,166	46,967	1,498
3,232	49,165	1,429
3,299	51,255	1,182
3,366	54,001	1,031
3,432	56,178	0,895
3,499	58,192	0,935
3,566	60,567	0,883
3,632	62,897	0,891
3,699	65,376	0,909
3,766	68,226	0,788
3,832	70,589	0,965
3,899	74,360	0,834
3,965	76,323	0,851
4,032	78,675	0,973
4,099	81,518	1,006
4,165	84,558	1,022
4,232	87,514	1,032
4,299	90,685	1,090
4,365	93,139	1,207
4,432	96,210	1,243
4,499	99,247	1,255
4,565	102,344	1,295
4,632	105,525	1,284
4,699	108,751	1,257
4,765	111,942	1,285
4,832	115,259	1,271
4,898	118,576	1,245
4,965	121,941	1,218
5,032	125,449	1,204
5,098	129,177	1,050
5,165	132,699	1,222
5,232	136,553	0,894
5,298	140,365	0,964
5,365	143,627	0,481
5,432	147,544	0,304
5,498	151,411	-0,022
5,565	154,753	-0,061
5,632	148,414	-0,559
5,698	144,242	-0,963
5,765	141,898	-1,100
5,831	137,837	-1,177
5,898	134,665	-2,008
5,965	131,254	-3,358
6,031	127,733	-2,641
6,098	124,533	-2,379
6,165	121,412	-4,958
6,231	118,543	-5,139
6,298	115,022	-4,358
6,365	112,089	-5,153
6,431	109,198	-6,234
6,498	106,866	-5,960
6,565	103,517	-5,927
6,631	100,581	-6,738
6,698	98,407	-6,395
6,765	95,919	-6,009
6,831	93,301	-5,868
6,898	90,253	-5,305
6,964	87,981	-4,672
7,031	85,685	-4,633
7,098	83,243	-3,943
7,164	80,116	-2,887
7,231	78,462	-2,498
7,298	76,085	-1,691
7,364	74,042	-0,892
7,431	71,799	-1,001
7,498	70,190	-0,890
7,564	68,637	-0,447
7,631	66,446	-0,302
7,698	64,927	-0,282
7,764	63,126	0,051
7,831	61,551	-0,644
7,897	59,360	-1,979
7,964	56,989	-1,643
8,031	56,253	-1,867
8,097	54,953	-2,836
8,164	53,532	-3,941
8,231	51,956	-3,981
8,297	50,287	-4,824
8,364	48,580	-4,933
8,431	47,720	-5,026
8,497	46,873	-5,433
8,564	45,407	-5,313
8,631	44,168	-4,560
8,697	43,174	-4,650
8,764	42,417	-3,750
8,830	41,278	-2,846
8,897	40,326	-3,002
8,964	39,427	-1,949
9,030	38,729	-0,757
9,097	38,173	-0,472
9,164	37,502	-0,586
9,230	37,067	-0,269
9,297	36,538	-0,525
9,364	36,118	-1,114
9,430	35,667	-0,690
9,497	35,092	-1,861
9,564	34,743	-2,333
9,630	34,506	-2,874
9,697	33,967	-4,012
9,764	33,510	-4,403
9,830	34,000	-4,883
9,897	34,164	-4,992
9,963	33,829	-5,206
10,030	34,029	-4,688
10,097	33,916	-4,804
10,163	34,057	-4,831
10,230	34,514	-4,014
10,297	34,648	-2,621
10,363	35,753	-1,805
10,430	36,242	-1,185
10,497	36,178	-0,956
10,563	36,673	-0,275
10,630	37,144	0,177
10,697	38,100	0,145
10,763	39,136	-0,946
10,830	39,583	-1,153
10,896	40,991	-1,700
10,963	41,917	-2,173
11,030	42,532	-2,506
