mass_C
t	x	y
0,000	-0,338	-2,128
0,033	-0,313	-2,171
0,067	-0,221	-2,209
0,100	-0,179	-2,209
0,167	-0,147	-2,214
0,200	-0,164	-2,213
0,233	-0,112	-2,139
0,267	-0,046	-2,156
0,300	-0,109	-2,086
0,333	-0,158	-2,101
0,366	-0,193	-2,089
0,400	-0,030	-1,959
0,433	-0,114	-1,941
0,466	-0,323	-1,932
0,500	-0,191	-1,966
0,533	-0,226	-1,983
0,566	-0,245	-1,954
0,600	-0,126	-1,935
0,633	-0,281	-2,007
0,666	-0,334	-2,006
0,700	-0,309	-2,135
0,733	-0,400	-2,120
0,766	-0,356	-2,253
0,800	-0,312	-2,086
0,833	-0,322	-2,191
0,866	-0,214	-2,198
0,900	-0,263	-2,191
0,933	-0,402	-2,165
0,966	-0,245	-2,147
1,000	-0,260	-2,142
1,033	-0,236	-2,108
1,066	-0,195	-2,061
1,100	-0,164	-2,009
1,133	-0,262	-1,934
1,166	-0,122	-1,900
1,200	-0,161	-1,886
1,233	-0,234	-1,885
1,266	-0,252	-1,880
1,300	-0,275	-1,908
1,333	-0,302	-1,926
1,366	-0,330	-1,946
1,400	-0,428	-1,940
1,433	-0,376	-1,984
1,466	-0,411	-2,121
1,500	-0,438	-2,128
1,533	-0,481	-2,119
1,566	-0,399	-2,168
1,599	-0,360	-2,174
1,633	-0,382	-2,178
1,666	-0,362	-2,194
1,699	-0,324	-2,162
1,733	-0,486	-2,163
1,766	-0,294	-2,032
1,799	-0,299	-2,061
1,833	-0,202	-1,910
1,866	-0,078	-1,828
1,899	-0,253	-1,890
1,933	-0,294	-1,896
1,966	-0,187	-1,874
1,999	-0,275	-1,878
2,033	-0,227	-1,892
2,066	-0,039	-1,907
2,099	-0,092	-1,911
2,133	-0,026	-1,920
2,166	0,136	-1,977
2,199	0,156	-1,963
2,233	0,424	-1,953
2,266	0,695	-1,988
2,299	0,769	-2,072
2,333	0,953	-2,092
2,366	1,252	-2,088
2,399	1,353	-2,092
2,433	1,507	-1,721
2,466	1,803	-1,639
2,499	2,258	-1,921
2,533	2,467	-1,831
2,566	2,886	-1,817
2,599	3,091	-1,747
2,632	3,574	-1,784
2,666	3,902	-1,730
2,699	4,348	-1,817
2,732	4,729	-1,859
2,766	5,149	-1,659
2,799	5,666	-1,674
2,832	6,004	-1,613
2,866	6,544	-1,607
2,899	6,964	-1,611
2,932	7,238	-1,614
2,966	7,835	-1,740
2,999	8,482	-1,795
3,032	8,945	-1,768
3,066	9,554	-1,783
3,099	10,078	-1,753
3,132	10,547	-1,688
3,166	11,253	-1,795
3,199	11,863	-1,778
3,232	12,498	-1,827
3,266	13,117	-1,830
3,299	13,822	-1,814
3,332	14,516	-1,786
3,366	15,257	-1,634
3,399	15,815	-1,588
3,432	16,686	-1,631
3,466	17,521	-1,649
3,499	18,199	-1,511
3,532	19,063	-1,485
3,566	19,734	-1,457
3,599	20,356	-1,396
3,632	21,251	-1,311
3,665	22,065	-1,236
3,699	22,943	-1,240
3,732	23,848	-1,177
3,765	24,678	-1,057
3,799	25,473	-0,987
3,832	26,461	-1,047
3,865	27,386	-1,043
3,899	28,295	-0,973
3,932	29,306	-0,969
3,965	30,273	-0,948
3,999	31,163	-0,929
4,032	32,309	-0,960
4,065	33,395	-0,970
4,099	34,304	-0,922
4,132	35,396	-0,917
4,165	36,392	-0,904
