h	tt1	tt2	tt3	t	ln	pln	delta	deltat
0	0	0	0	0	0	0	0	0.2
2	15	16	15	15.3333333333333	-0.034486176071169	0.034486176071169	0.050028719129307	0.2
4	32	31	32	31.6666666666667	-0.070204258673249	0.070204258673249	0.025057388884699	0.2
6	49	49	49	49	-0.107245530353598	0.107245530353598	0.01675262712224	0.2
8	67	67	67	67	-0.145711811181394	0.145711811181394	0.01261438614119	0.2
10	86	87	86	86.3333333333333	-0.185717145795093	0.185717145795093	0.010142619864663	0.2
12	105	105	105	105	-0.227389842195661	0.227389842195661	0.008503950973723	0.2
14	125	125	124	124.666666666667	-0.2708749541354	0.2708749541354	0.007341195126293	0.2
16	145	144	144	144.333333333333	-0.316337328212157	0.316337328212157	0.006475742252364	0.2
18	167	167	166	166.666666666667	-0.363965377201412	0.363965377201412	0.005808350475816	0.2
20	190	190	189	189.666666666667	-0.413975797776073	0.413975797776073	0.005279463771923	0.2
22	213	213	213	213	-0.466619531261495	0.466619531261495	0.004851174573631	0.2
24	238	238	238	238	-0.522189382416306	0.522189382416306	0.004498205067597	0.2
26	264	264	264	264	-0.581029882439239	0.581029882439239	0.004203050930851	0.2
28	297	297	297	297	-0.643550239420573	0.643550239420573	0.003953206263258	0.2
30	322	322	322	322	-0.710241613919245	0.710241613919245	0.003739498473079	0.2
32	356	356	356	356	-0.78170057790139	0.78170057790139	0.003555047498845	0.2
34	387	386	387	386.266666666667	-0.858661619037519	0.858661619037519	0.003394592280405	0.2
36	424	424	424	424	-0.94204322797657	0.94204322797657	0.003254041656427	0.2
38	464	464	463	463.666666666667	-1.0330150061823	1.0330150061823	0.003130167004375	0.2
40	507	507	508	507.333333333333	-1.13309846473928	1.13309846473928	0.003020387014779	0.2
42	554	554	554	554	-1.2443240998495	1.2443240998495	0.002922613891606	0.2
44	605	605	605	605	-1.36948724280351	1.36948724280351	0.002835141438314	0.2
46	666	666	665	665.666666666667	-1.51258808644418	1.51258808644418	0.002756562286554	0.2






















